DEPOYMENT;CAPABILITY;NAME;SERVER;URL_PATH;CHECK_PATH;AUTH;CHECK_KEYWORD;COMMENT
production;baa-access-info;Business Automation Application;cpd;/ae-workspace/;/ae-workspace/;token;Application Engine;
both;bai-access-info;Kafka Bootstrap_Servers;iaf-system-kafka-bootstrap;:443;:443;basic;Empty reply from server;
both;bai-access-info;Business Performance Center URL;cpd;/bai-bpc;/bai-bpc/;token;Business Performance Center;
both;bai-access-info;BAI Desktop;cpd;/icn/navigator/?desktop=BAI;/icn/navigator/?desktop=BAI;token;Content Navigator;
both;bai-access-info;Apicurio URL;iaf-system-apicurio;;;basic;Apicurio Registry;
both;bai-access-info;Elasticsearch URL;iaf-system-es;;:443;basic;Empty reply from server;
both;bastudio-access-info;Cloudpak Dashboard;cpd;;/zen/;token;IBM Cloud Pak;
starter;bastudio-access-info;Business Automation Workplace;cpd;/bas/Workplace;/bas/Workplace;token;teamworks;
starter;bastudio-access-info;Business Automation Workflow External base URL;cpd;/bas/;/bas/;token;WebSphere Application;
starter;bastudio-access-info;Business Automation Process Portal;cpd;/bas/ProcessPortal;/bas/ProcessPortal/portal;token;Process Manager;
both;cmis-access-info;Content Management Interoperability Services for CP4BA (OCP route);cmis;/cmis/openfncmis_wlp;/openfncmis_wlp/;basic;WebSphere Application\\|Content Manager;
starter;cmis-access-info;Content Management Interoperability Services for CP4BA;cpd;/cmis/openfncmis_wlp;/cmis/openfncmis_wlp/;basic;WebSphere Application\\|Content Manager;
production;cmis-access-info;Content Management Interoperability Services for CP4BA;cpd;/cmis/openfncmis_wlp;/cmis/openfncmis_wlp/;basic;Content Manager;
production;cpe-access-info;Content Platform Engine administration;cpd;/cpe/acce/;/cpe/acce/;token;Content Navigator;
production;cpe-access-info;Content Platform Engine ping page;cpe;/FileNet/Engine;/FileNet/Engine;token;Content Engine;
production;cpe-access-info;Content Platform Engine health check;cpe;/P8CE/Health;/P8CE/Health/OS;token;System Health;
production;cpe-access-info;FileNet Process Services details page;cpe;/peengine/IOR/admin/help;/peengine/IOR/admin/help;basic;Platform Engine;
production;cpe-access-info;FileNet Process Services ping page;cpe;/peengine/IOR/ping;/peengine/IOR/ping;basic;Platform Engine;
production;cpe-access-info;FileNet Process Engine Web Service(PEWS) page;cpe;/pewsi/ProcessEngineWS-I;/pewsi/ProcessEngineWS-I;token;ProcessEngineService;
production;cpe-access-info;FileNet P8 Content Engine Web Service page;cpe;/wsi/FNCEWS40MTOM/;/wsi/FNCEWS40MTOM/;token;Content Engine;
production;cpe-stateless-access-info;Content Platform Engine ping page;cpe-stless;/FileNet/Engine;/FileNet/Engine;token;Content Engine;
production;cpe-stateless-access-info;Content Platform Engine health check;cpe-stless;/P8CE/Health;/P8CE/Health;token;System Health;
production;cpe-stateless-access-info;FileNet Process Services details page;cpe-stless;/peengine/IOR/admin/help;/peengine/IOR/admin/help;basic;Platform Engine;
production;cpe-stateless-access-info;FileNet Process Services ping page;cpe-stless;/peengine/IOR/ping;/peengine/IOR/ping;basic;Platform Engine;
production;cpe-stateless-access-info;FileNet Process Engine Web Service(PEWS) page;cpe-stless;/pewsi/ProcessEngineWS-I;/pewsi/ProcessEngineWS-I;token;ProcessEngineService;
production;cpe-stateless-access-info;FileNet P8 Content Engine Web Service page;cpe-stless;/wsi/FNCEWS40MTOM/;/wsi/FNCEWS40MTOM/;token;Content Engine;
both;navigator-access-info;Business Automation Navigator for CP4BA;cpd;/icn/navigator/;/icn/navigator/;token;Content Navigator;
both;navigator-access-info;Business Automation Navigator for FNCM;navigator;/navigator/;/navigator;token;Redirect To OP;Application Engine
both;odm-access-info;ODM Decision Center URL;cpd;/odm/decisioncenter;/odm/decisioncenter/t/home;token;Decision Center;
both;odm-access-info;ODM Decision Runner URL;cpd;/odm/DecisionRunner;/odm/DecisionRunner/;token;Decision Runner;
both;odm-access-info;ODM Decision Server Console URL;cpd;/odm/DecisionService;/odm/DecisionService/;token;Decision Service;
both;odm-access-info;ODM Decision Server Runtime URL;cpd;/odm/res;/odm/res/protected/home.jsf;token;Rule Execution Server;
production;workflow-authoring-access-info;Business Automation Workflow Authoring External base URL;cpd;/bawaut/;/bawaut/;token;Application Server;
production;workflow-authoring-access-info;Business Automation Case Builder;cpd;/bawaut/CaseBuilder;/bawaut/CaseBuilder/;token;IBM Automation;
production;workflow-authoring-access-info;Business Automation Workflow Authoring Portal;cpd;/bawaut/ProcessPortal;/bawaut/ProcessPortal/portal;token;Process Manager;
production;workflow-authoring-access-info;Business Automation Case Client;cpd;/icn/navigator?desktop=baw;/icn/navigator/?desktop=baw;token;Content Navigator;
production;workflow-authoring-access-info;IBM Workplace;cpd;/icn/navigator?desktop=workplace;/icn/navigator/?desktop=workplace;token;Content Navigator;
production;workflow-authoring-access-info;Process Federated Server federated workflow servers;cpd;/pfs/rest/bpm/federated/v1/systems;/pfs/rest/bpm/federated/v1/systems;token;CaseManager;
